task_id	name	status	exit	time	realtime
197	run_methods (method: thresholding; grid row: 17)	COMPLETED	0	1m 50s	2s
198	run_methods (method: thresholding; grid row: 17)	COMPLETED	0	1m 50s	2s
201	run_methods (method: thresholding; grid row: 17)	COMPLETED	0	1m 50s	1s
203	run_methods (method: thresholding; grid row: 18)	COMPLETED	0	1m 50s	1s
205	run_methods (method: thresholding; grid row: 18)	COMPLETED	0	1m 50s	1s
196	run_methods (method: em; grid row: 17)	COMPLETED	0	4m 20s	8s
207	run_methods (method: thresholding; grid row: 18)	COMPLETED	0	1m 50s	1s
209	run_methods (method: thresholding; grid row: 18)	COMPLETED	0	1m 50s	1s
194	run_methods (method: em; grid row: 17)	COMPLETED	0	4m 20s	9s
211	run_methods (method: thresholding; grid row: 18)	COMPLETED	0	1m 50s	2s
199	run_methods (method: em; grid row: 17)	COMPLETED	0	4m 20s	8s
202	run_methods (method: em; grid row: 17)	COMPLETED	0	4m 20s	8s
200	run_methods (method: em; grid row: 17)	COMPLETED	0	4m 20s	9s
204	run_methods (method: em; grid row: 18)	COMPLETED	0	4m 20s	8s
206	run_methods (method: em; grid row: 18)	COMPLETED	0	4m 20s	8s
215	run_methods (method: thresholding; grid row: 16)	COMPLETED	0	1m 50s	1s
213	run_methods (method: thresholding; grid row: 16)	COMPLETED	0	1m 50s	1s
217	run_methods (method: thresholding; grid row: 16)	COMPLETED	0	1m 50s	1s
208	run_methods (method: em; grid row: 18)	COMPLETED	0	4m 20s	9s
219	run_methods (method: thresholding; grid row: 16)	COMPLETED	0	1m 50s	2s
221	run_methods (method: thresholding; grid row: 16)	COMPLETED	0	1m 50s	2s
210	run_methods (method: em; grid row: 18)	COMPLETED	0	4m 20s	9s
212	run_methods (method: em; grid row: 18)	COMPLETED	0	4m 20s	9s
223	run_methods (method: thresholding; grid row: 19)	COMPLETED	0	1m 50s	2s
216	run_methods (method: em; grid row: 16)	COMPLETED	0	4m 20s	10s
218	run_methods (method: em; grid row: 16)	COMPLETED	0	4m 20s	10s
225	run_methods (method: thresholding; grid row: 19)	COMPLETED	0	1m 50s	1s
227	run_methods (method: thresholding; grid row: 19)	COMPLETED	0	1m 50s	2s
233	run_methods (method: thresholding; grid row: 20)	COMPLETED	0	1m 50s	2s
214	run_methods (method: em; grid row: 16)	COMPLETED	0	4m 20s	11s
229	run_methods (method: thresholding; grid row: 19)	COMPLETED	0	1m 50s	1s
224	run_methods (method: em; grid row: 19)	COMPLETED	0	4m 20s	9s
231	run_methods (method: thresholding; grid row: 19)	COMPLETED	0	1m 50s	2s
220	run_methods (method: em; grid row: 16)	COMPLETED	0	4m 20s	10s
222	run_methods (method: em; grid row: 16)	COMPLETED	0	4m 20s	10s
235	run_methods (method: thresholding; grid row: 20)	COMPLETED	0	1m 50s	2s
237	run_methods (method: thresholding; grid row: 20)	COMPLETED	0	1m 50s	2s
226	run_methods (method: em; grid row: 19)	COMPLETED	0	4m 20s	9s
241	run_methods (method: thresholding; grid row: 20)	COMPLETED	0	1m 50s	1s
228	run_methods (method: em; grid row: 19)	COMPLETED	0	4m 20s	9s
243	run_methods (method: thresholding; grid row: 21)	COMPLETED	0	1m 50s	1s
239	run_methods (method: thresholding; grid row: 20)	COMPLETED	0	1m 50s	2s
230	run_methods (method: em; grid row: 19)	COMPLETED	0	4m 20s	9s
232	run_methods (method: em; grid row: 19)	COMPLETED	0	4m 20s	8s
245	run_methods (method: thresholding; grid row: 21)	COMPLETED	0	1m 50s	1s
234	run_methods (method: em; grid row: 20)	COMPLETED	0	4m 20s	9s
244	run_methods (method: thresholding; grid row: 21)	COMPLETED	0	1m 50s	1s
248	run_methods (method: thresholding; grid row: 21)	COMPLETED	0	1m 50s	1s
238	run_methods (method: em; grid row: 20)	COMPLETED	0	4m 20s	7s
240	run_methods (method: em; grid row: 20)	COMPLETED	0	4m 20s	7s
236	run_methods (method: em; grid row: 20)	COMPLETED	0	4m 20s	7s
251	run_methods (method: thresholding; grid row: 21)	COMPLETED	0	1m 50s	2s
254	run_methods (method: thresholding; grid row: 28)	COMPLETED	0	1m 50s	1s
255	run_methods (method: thresholding; grid row: 28)	COMPLETED	0	1m 50s	2s
242	run_methods (method: em; grid row: 20)	COMPLETED	0	4m 20s	8s
257	run_methods (method: thresholding; grid row: 28)	COMPLETED	0	1m 50s	1s
246	run_methods (method: em; grid row: 21)	COMPLETED	0	4m 20s	10s
259	run_methods (method: thresholding; grid row: 28)	COMPLETED	0	1m 50s	2s
247	run_methods (method: em; grid row: 21)	COMPLETED	0	4m 20s	10s
249	run_methods (method: em; grid row: 21)	COMPLETED	0	4m 20s	10s
261	run_methods (method: thresholding; grid row: 28)	COMPLETED	0	1m 50s	1s
252	run_methods (method: em; grid row: 21)	COMPLETED	0	4m 20s	10s
265	run_methods (method: thresholding; grid row: 23)	COMPLETED	0	1m 50s	2s
250	run_methods (method: em; grid row: 21)	COMPLETED	0	4m 20s	12s
253	run_methods (method: em; grid row: 28)	COMPLETED	0	4m 20s	11s
267	run_methods (method: thresholding; grid row: 23)	COMPLETED	0	1m 50s	1s
268	run_methods (method: thresholding; grid row: 23)	COMPLETED	0	1m 50s	2s
264	run_methods (method: thresholding; grid row: 23)	COMPLETED	0	1m 50s	1s
256	run_methods (method: em; grid row: 28)	COMPLETED	0	4m 20s	13s
271	run_methods (method: thresholding; grid row: 23)	COMPLETED	0	1m 50s	1s
262	run_methods (method: em; grid row: 28)	COMPLETED	0	4m 20s	10s
260	run_methods (method: em; grid row: 28)	COMPLETED	0	4m 20s	12s
258	run_methods (method: em; grid row: 28)	COMPLETED	0	4m 20s	12s
275	run_methods (method: thresholding; grid row: 24)	COMPLETED	0	1m 50s	1s
269	run_methods (method: em; grid row: 23)	COMPLETED	0	4m 20s	13s
277	run_methods (method: thresholding; grid row: 24)	COMPLETED	0	1m 50s	2s
266	run_methods (method: em; grid row: 23)	COMPLETED	0	4m 20s	10s
263	run_methods (method: em; grid row: 23)	COMPLETED	0	4m 20s	11s
284	run_methods (method: thresholding; grid row: 25)	COMPLETED	0	1m 50s	2s
279	run_methods (method: thresholding; grid row: 24)	COMPLETED	0	1m 50s	1s
270	run_methods (method: em; grid row: 23)	COMPLETED	0	4m 20s	10s
273	run_methods (method: thresholding; grid row: 24)	COMPLETED	0	1m 50s	2s
281	run_methods (method: thresholding; grid row: 24)	COMPLETED	0	1m 50s	1s
272	run_methods (method: em; grid row: 23)	COMPLETED	0	4m 20s	10s
278	run_methods (method: em; grid row: 24)	COMPLETED	0	4m 20s	10s
285	run_methods (method: thresholding; grid row: 25)	COMPLETED	0	1m 50s	2s
280	run_methods (method: em; grid row: 24)	COMPLETED	0	4m 20s	12s
282	run_methods (method: em; grid row: 24)	COMPLETED	0	4m 20s	10s
287	run_methods (method: thresholding; grid row: 25)	COMPLETED	0	1m 50s	1s
289	run_methods (method: thresholding; grid row: 25)	COMPLETED	0	1m 50s	1s
286	run_methods (method: em; grid row: 25)	COMPLETED	0	4m 20s	11s
291	run_methods (method: thresholding; grid row: 25)	COMPLETED	0	1m 50s	2s
276	run_methods (method: em; grid row: 24)	COMPLETED	0	4m 20s	13s
297	run_methods (method: thresholding; grid row: 26)	COMPLETED	0	1m 50s	1s
274	run_methods (method: em; grid row: 24)	COMPLETED	0	4m 20s	11s
283	run_methods (method: em; grid row: 25)	COMPLETED	0	4m 20s	11s
290	run_methods (method: em; grid row: 25)	COMPLETED	0	4m 20s	12s
299	run_methods (method: thresholding; grid row: 26)	COMPLETED	0	1m 50s	2s
288	run_methods (method: em; grid row: 25)	COMPLETED	0	4m 20s	10s
295	run_methods (method: thresholding; grid row: 26)	COMPLETED	0	1m 50s	1s
293	run_methods (method: thresholding; grid row: 26)	COMPLETED	0	1m 50s	1s
292	run_methods (method: em; grid row: 25)	COMPLETED	0	4m 20s	10s
294	run_methods (method: em; grid row: 26)	COMPLETED	0	4m 20s	10s
301	run_methods (method: thresholding; grid row: 26)	COMPLETED	0	1m 50s	2s
303	run_methods (method: thresholding; grid row: 27)	COMPLETED	0	1m 50s	1s
300	run_methods (method: em; grid row: 26)	COMPLETED	0	4m 20s	11s
298	run_methods (method: em; grid row: 26)	COMPLETED	0	4m 20s	12s
296	run_methods (method: em; grid row: 26)	COMPLETED	0	4m 20s	10s
305	run_methods (method: thresholding; grid row: 27)	COMPLETED	0	1m 50s	2s
307	run_methods (method: thresholding; grid row: 27)	COMPLETED	0	1m 50s	1s
309	run_methods (method: thresholding; grid row: 27)	COMPLETED	0	1m 50s	2s
