task_id	name	status	exit	time	realtime
41	run_methods (method: thresholding; grid row: 3)	COMPLETED	0	2m 15s	1.1s
49	run_methods (method: thresholding; grid row: 2)	COMPLETED	0	2m 15s	966ms
99	run_methods (method: thresholding; grid row: 6)	COMPLETED	0	2m 15s	1.2s
121	run_methods (method: thresholding; grid row: 29)	COMPLETED	0	2m 15s	1s
128	run_methods (method: em; grid row: 8)	FAILED	1	6m	19.7s
130	run_methods (method: em; grid row: 8)	FAILED	1	6m	15ms
132	run_methods (method: em; grid row: 8)	FAILED	1	6m	39ms
146	run_methods (method: em; grid row: 30)	FAILED	1	6m	8ms
150	run_methods (method: em; grid row: 30)	FAILED	1	6m	20ms
155	run_methods (method: thresholding; grid row: 9)	COMPLETED	0	2m 15s	1.2s
164	run_methods (method: em; grid row: 31)	FAILED	1	6m	2ms
165	run_methods (method: em; grid row: 31)	FAILED	1	6m	2ms
168	run_methods (method: em; grid row: 31)	FAILED	1	6m	2ms
13	generate_data (grid row: 13)	COMPLETED	0	7m 15s	577ms
40	run_methods (method: em; grid row: 3)	FAILED	1	6m	20s
45	run_methods (method: thresholding; grid row: 2)	COMPLETED	0	2m 15s	960ms
89	run_methods (method: thresholding; grid row: 4)	COMPLETED	0	2m 15s	1.3s
139	run_methods (method: thresholding; grid row: 7)	COMPLETED	0	2m 15s	1.3s
143	run_methods (method: thresholding; grid row: 30)	COMPLETED	0	2m 15s	1.5s
163	run_methods (method: thresholding; grid row: 31)	COMPLETED	0	2m 15s	1.4s
166	run_methods (method: thresholding; grid row: 31)	COMPLETED	0	2m 15s	1.7s
167	run_methods (method: thresholding; grid row: 31)	COMPLETED	0	2m 15s	1.6s
169	run_methods (method: thresholding; grid row: 31)	COMPLETED	0	2m 15s	1.4s
15	generate_data (grid row: 15)	COMPLETED	0	7m 15s	573ms
120	run_methods (method: em; grid row: 29)	FAILED	1	6m	29.4s
129	run_methods (method: thresholding; grid row: 8)	COMPLETED	0	2m 15s	1s
131	run_methods (method: thresholding; grid row: 8)	COMPLETED	0	2m 15s	1s
156	run_methods (method: em; grid row: 9)	FAILED	1	6m	1ms
42	run_methods (method: em; grid row: 3)	FAILED	1	6m	30s
48	run_methods (method: em; grid row: 2)	FAILED	1	6m	30s
133	run_methods (method: thresholding; grid row: 7)	COMPLETED	0	2m 15s	1.5s
141	run_methods (method: thresholding; grid row: 7)	COMPLETED	0	2m 15s	1.3s
144	run_methods (method: em; grid row: 30)	FAILED	1	6m	5s
147	run_methods (method: thresholding; grid row: 30)	COMPLETED	0	2m 15s	1.1s
151	run_methods (method: thresholding; grid row: 30)	COMPLETED	0	2m 15s	1.4s
170	run_methods (method: em; grid row: 31)	FAILED	1	6m	5s
17	generate_data (grid row: 17)	COMPLETED	0	7m 15s	579ms
50	run_methods (method: em; grid row: 2)	FAILED	1	6m	35s
122	run_methods (method: em; grid row: 29)	FAILED	1	6m	39.4s
136	run_methods (method: em; grid row: 7)	FAILED	1	6m	41ms
140	run_methods (method: em; grid row: 7)	FAILED	1	6m	12ms
148	run_methods (method: em; grid row: 30)	FAILED	1	6m	2ms
152	run_methods (method: em; grid row: 30)	FAILED	1	6m	2ms
153	run_methods (method: thresholding; grid row: 9)	COMPLETED	0	2m 15s	1.3s
172	run_methods (method: em; grid row: 31)	FAILED	1	6m	1ms
173	run_methods (method: thresholding; grid row: 10)	COMPLETED	0	2m 15s	1.3s
174	run_methods (method: em; grid row: 10)	FAILED	1	6m	1ms
188	run_methods (method: em; grid row: 11)	FAILED	1	6m	2ms
190	run_methods (method: em; grid row: 11)	FAILED	1	6m	12ms
191	run_methods (method: thresholding; grid row: 11)	COMPLETED	0	2m 15s	1.3s
19	generate_data (grid row: 19)	COMPLETED	0	7m 15s	597ms
38	run_methods (method: em; grid row: 3)	FAILED	1	6m	40s
126	run_methods (method: em; grid row: 8)	FAILED	1	6m	44.4s
145	run_methods (method: thresholding; grid row: 30)	COMPLETED	0	2m 15s	1.5s
149	run_methods (method: thresholding; grid row: 30)	COMPLETED	0	2m 15s	1.1s
157	run_methods (method: thresholding; grid row: 9)	COMPLETED	0	2m 15s	1.2s
171	run_methods (method: thresholding; grid row: 31)	COMPLETED	0	2m 15s	1.4s
177	run_methods (method: thresholding; grid row: 10)	COMPLETED	0	2m 15s	1.2s
